transaction_id,account_id,customer_id,amount,transaction_type,merchant,transaction_date
T66,A92,C92,7021.53,debit,,2026-04-14 8:15:00
T67,A74,C74,14086.15,,Swiggy,2026-04-14 7:47:00
T68,A53,C53,4535.11,,Zomato,2026-04-14 16:34:00
T69,A68,C68,9456.87,credit,Flipkart,2026-04-14 3:6:00
T70,A85,C85,3239.62,credit,Amazon,2026-04-14 2:25:00
T71,A5,C5,8511.72,DEBIT,,2026-04-14 20:19:00
T72,A20,C20,7269.19,credit,,2026-04-14 20:14:00
T73,A86,C86,13460.64,DEBIT,Zomato,2026-04-14 8:42:00
T74,A4,C4,10170.42,,Zomato,2026-04-14 3:13:00
T75,A37,C37,1767.46,,Zomato,2026-04-14 6:58:00
T76,A69,C69,7136.2,credit,Swiggy,2026-04-14 12:20:00
T77,A37,C37,899.57,debit,Swiggy,2026-04-14 5:39:00
T78,A7,C7,3939.02,debit,Flipkart,2026-04-14 7:9:00
T79,A47,C47,6835.51,credit,Zomato,2026-04-14 0:10:00
T80,A55,C55,5992.43,,,2026-04-14 4:27:00
T81,A4,C4,1895.5,debit,Swiggy,2026-04-14 17:30:00
T82,A84,C84,19449.04,debit,Amazon,2026-04-14 5:14:00
T83,A98,C98,4218.51,credit,Swiggy,2026-04-14 22:27:00
T84,A63,C63,15797.1,,Flipkart,2026-04-14 6:12:00
T85,A50,C50,11678.4,DEBIT,Swiggy,2026-04-14 16:57:00
T86,A74,C74,9506.96,debit,Flipkart,2026-04-14 9:40:00
T87,A39,C39,9688.7,,,2026-04-14 1:45:00
T88,A95,C95,5239.75,,Amazon,2026-04-14 20:23:00
T89,A5,C5,6107.28,credit,Swiggy,2026-04-14 12:20:00
T90,A85,C85,8219.41,DEBIT,Flipkart,2026-04-14 22:18:00
T91,A4,C4,3730.24,debit,Swiggy,2026-04-14 21:43:00
T92,A43,C43,10117.2,debit,Amazon,2026-04-14 23:16:00
T93,A53,C53,18370.97,debit,Flipkart,2026-04-14 15:52:00
T94,A3,C3,15957.08,debit,Zomato,2026-04-14 14:29:00
T95,A52,C52,18622.08,DEBIT,Swiggy,2026-04-14 9:33:00
T96,A83,C83,10134.57,,Swiggy,2026-04-14 16:15:00
T97,A79,C79,673.91,DEBIT,Flipkart,2026-04-14 19:57:00
T98,A31,C31,403.39,DEBIT,Flipkart,2026-04-14 5:26:00
T99,A75,C75,14128.78,debit,Zomato,2026-04-14 17:56:00
T100,A9,C9,17044.95,DEBIT,Amazon,2026-04-14 8:56:00
T101,A99,C99,19117.81,debit,Flipkart,2026-04-14 14:25:00
T102,A48,C48,19432.85,,Zomato,2026-04-14 6:30:00
T103,A71,C71,708.51,credit,Amazon,2026-04-14 19:12:00
T104,A54,C54,8006.17,,Swiggy,2026-04-14 19:39:00
T105,A93,C93,1945.61,credit,Zomato,2026-04-14 17:10:00
T106,A2,C2,13021.8,credit,Flipkart,2026-04-14 6:21:00
T107,A25,C25,179.96,debit,Zomato,2026-04-14 15:29:00
T108,A56,C56,7765.65,DEBIT,Flipkart,2026-04-14 8:4:00
T109,A98,C98,3622.61,,Amazon,2026-04-14 18:56:00
T110,A13,C13,7219.78,debit,Zomato,2026-04-14 3:32:00
T111,A92,C92,2508.07,debit,Zomato,2026-04-14 15:4:00
T44,A51,C51,11443.56,DEBIT,,2026-04-14 13:30:00
T113,A55,C55,15493.03,debit,Flipkart,2026-04-14 23:45:00
T114,A82,C82,1573.96,credit,Flipkart,2026-04-14 12:38:00
T115,A10,C10,13509.31,DEBIT,Zomato,2026-04-14 3:6:00
T116,A31,C31,16973.91,debit,Zomato,2026-04-14 16:57:00
T117,A4,C4,16519.76,,Flipkart,2026-04-14 5:58:00
T118,A91,C91,10298.21,DEBIT,Swiggy,2026-04-14 8:24:00
T119,A31,C31,6474.34,,Zomato,2026-04-14 11:21:00
T120,A13,C13,12221.29,DEBIT,,2026-04-14 0:57:00
T121,A98,C98,11784.38,DEBIT,,2026-04-14 4:33:00
T122,A54,C54,8818.33,DEBIT,Swiggy,2026-04-14 1:39:00
T123,A15,C15,1565.22,,Swiggy,2026-04-14 18:23:00
T124,A28,C28,17552.15,credit,Zomato,2026-04-14 22:16:00
T125,A55,C55,6341.41,,Flipkart,2026-04-14 0:9:00
T126,A10,C10,5104.38,DEBIT,,2026-04-14 17:51:00
T127,A94,C94,2144.3,DEBIT,,2026-04-14 20:14:00
T128,A72,C72,6734.18,,Flipkart,2026-04-14 19:30:00
T129,A40,C40,11090.74,,Flipkart,2026-04-14 16:47:00
T130,A43,C43,11008.18,debit,Amazon,2026-04-14 6:41:00
T131,A99,C99,8274.05,credit,Swiggy,2026-04-14 22:18:00
T132,A63,C63,423.81,debit,Swiggy,2026-04-14 3:8:00
T133,A15,C15,13483.39,,Zomato,2026-04-14 4:39:00
T134,A95,C95,5941.65,debit,Zomato,2026-04-14 13:2:00
T135,A49,C49,7693.72,debit,Amazon,2026-04-14 21:0:00
T136,A53,C53,7120.14,DEBIT,Swiggy,2026-04-14 22:5:00
T137,A53,C53,16686.41,,Flipkart,2026-04-14 11:6:00
T138,A25,C25,932.54,DEBIT,Amazon,2026-04-14 12:41:00
T139,A83,C83,6122.11,DEBIT,Zomato,2026-04-14 19:0:00
T140,A76,C76,17399.35,,Amazon,2026-04-14 1:28:00
T141,A40,C40,15773.62,debit,Flipkart,2026-04-14 16:34:00
T142,A19,C19,6344.31,credit,,2026-04-14 16:19:00
T143,A25,C25,16872.4,DEBIT,Flipkart,2026-04-14 9:56:00
T144,A21,C21,3302.74,credit,Swiggy,2026-04-14 12:10:00
T145,A46,C46,13675.07,,,2026-04-14 16:21:00
T146,A15,C15,16997.53,DEBIT,Amazon,2026-04-14 9:2:00
T147,A70,C70,8546.2,credit,Swiggy,2026-04-14 12:22:00
T148,A53,C53,13587.23,,Flipkart,2026-04-14 19:15:00
T149,A24,C24,19142.1,DEBIT,,2026-04-14 1:9:00
T150,A1,C1,16370.07,debit,Zomato,2026-04-14 8:13:00
T151,A21,C21,15761.21,DEBIT,Zomato,2026-04-14 16:29:00
T152,A37,C37,12387.11,credit,Flipkart,2026-04-14 16:27:00
T153,A47,C47,4330.47,debit,Zomato,2026-04-14 1:28:00
T154,A78,C78,17368.51,debit,Amazon,2026-04-14 6:31:00
T155,A68,C68,17485.38,debit,Flipkart,2026-04-14 12:58:00
T156,A28,C28,2727.22,,Swiggy,2026-04-14 1:24:00
T157,A90,C90,9689.48,DEBIT,Amazon,2026-04-14 23:55:00
T158,A94,C94,9927.56,,,2026-04-14 23:48:00
T159,A44,C44,4184.12,DEBIT,Swiggy,2026-04-14 13:0:00
T160,A7,C7,3648.58,,,2026-04-14 1:10:00
T161,A72,C72,2286.67,,Swiggy,2026-04-14 6:45:00
T162,A74,C74,9308.68,debit,,2026-04-14 19:47:00
T163,A7,C7,11302.17,debit,,2026-04-14 16:4:00
T164,A40,C40,10906.32,debit,Swiggy,2026-04-14 1:12:00
T165,A92,C92,8190.68,credit,Zomato,2026-04-14 12:34:00
T166,A54,C54,18266.71,credit,Zomato,2026-04-14 20:58:00
T167,A5,C5,1278.96,,Flipkart,2026-04-14 19:7:00
T168,A88,C88,7995.7,credit,Swiggy,2026-04-14 2:15:00
T169,A37,C37,13733.85,debit,Amazon,2026-04-14 19:3:00
T170,A13,C13,18753.76,debit,Amazon,2026-04-14 0:39:00
T171,A37,C37,4976.51,DEBIT,Swiggy,2026-04-14 17:42:00
T172,A9,C9,782.63,debit,Flipkart,2026-04-14 10:31:00
T173,A40,C40,12486.64,debit,Zomato,2026-04-14 8:15:00
T174,A59,C59,9011.1,credit,Swiggy,2026-04-14 21:30:00
T175,A45,C45,2628.53,credit,Amazon,2026-04-14 10:42:00
T176,A24,C24,11188.66,,Flipkart,2026-04-14 16:53:00
T177,A10,C10,4599.13,DEBIT,Flipkart,2026-04-14 0:31:00
T178,A85,C85,16378.88,credit,Amazon,2026-04-14 9:14:00
T179,A63,C63,13017.17,DEBIT,Swiggy,2026-04-14 18:44:00
T180,A68,C68,5232.74,DEBIT,Zomato,2026-04-14 12:17:00
T181,A10,C10,2734.06,,Zomato,2026-04-14 1:40:00
T182,A22,C22,157.46,DEBIT,Zomato,2026-04-14 4:38:00
T183,A24,C24,10176.95,credit,Zomato,2026-04-14 17:0:00
T184,A29,C29,18371.11,credit,Amazon,2026-04-14 13:5:00
T185,A62,C62,15840.59,,Flipkart,2026-04-14 14:21:00
T186,A5,C5,2526.92,debit,Zomato,2026-04-14 22:43:00
T187,A32,C32,12777.4,credit,,2026-04-14 10:2:00
T188,A94,C94,10456.86,DEBIT,Zomato,2026-04-14 5:18:00
T189,A39,C39,13085.03,DEBIT,,2026-04-14 12:9:00
T190,A39,C39,8563.08,DEBIT,Flipkart,2026-04-14 10:20:00
T191,A22,C22,7468.22,credit,Amazon,2026-04-14 12:17:00
T192,A67,C67,6283.33,DEBIT,Flipkart,2026-04-14 5:23:00
T193,A48,C48,6477.91,debit,Amazon,2026-04-14 12:27:00
T194,A88,C88,3278.43,DEBIT,Zomato,2026-04-14 1:11:00
T195,A23,C23,19756.58,debit,Swiggy,2026-04-14 10:39:00
T196,A15,C15,5092.52,DEBIT,Amazon,2026-04-14 13:9:00
T197,A89,C89,618.2,,Swiggy,2026-04-14 0:11:00
T198,A64,C64,17504.44,,,2026-04-14 21:5:00
T199,A21,C21,18918.21,DEBIT,Flipkart,2026-04-14 6:24:00
T200,A41,C41,1182.07,credit,Flipkart,2026-04-14 5:12:00
T201,A69,C69,14842.52,credit,Zomato,2026-04-14 21:30:00
T202,A16,C16,16618.5,credit,Zomato,2026-04-14 13:19:00
T203,A80,C80,15351.7,DEBIT,Swiggy,2026-04-14 3:8:00
T204,A96,C96,1028.43,credit,Swiggy,2026-04-14 10:30:00
T205,A24,C24,10552.19,credit,Zomato,2026-04-14 5:33:00
T206,A60,C60,10722.86,credit,Amazon,2026-04-14 5:31:00
T207,A29,C29,12385.45,DEBIT,,2026-04-14 23:30:00
T208,A19,C19,13836.42,debit,Swiggy,2026-04-14 14:51:00
T209,A74,C74,7940.59,,Flipkart,2026-04-14 11:51:00
T210,A75,C75,18585.15,DEBIT,,2026-04-14 16:6:00
T211,A71,C71,6671.31,debit,,2026-04-14 16:55:00
T212,A100,C100,1060.42,debit,Swiggy,2026-04-14 23:9:00
T213,A5,C5,5993.56,DEBIT,,2026-04-14 23:20:00
T214,A45,C45,13208.54,debit,,2026-04-14 15:49:00
T215,A4,C4,15156.77,credit,Amazon,2026-04-14 4:51:00
T216,A46,C46,13995.99,DEBIT,Zomato,2026-04-14 3:34:00
T217,A24,C24,8021.78,,Flipkart,2026-04-14 7:57:00
T218,A48,C48,7559.23,debit,Amazon,2026-04-14 22:12:00
T219,A21,C21,656.01,debit,,2026-04-14 10:44:00
T220,A74,C74,19468.48,,Zomato,2026-04-14 22:45:00
T221,A88,C88,5246.35,DEBIT,Zomato,2026-04-14 21:31:00
T222,A72,C72,9196.51,,Amazon,2026-04-14 14:14:00
T223,A80,C80,8463.04,DEBIT,Swiggy,2026-04-14 21:43:00
T224,A20,C20,12968.98,debit,Flipkart,2026-04-14 5:59:00
T225,A79,C79,2039.33,debit,Swiggy,2026-04-14 17:49:00
T226,A48,C48,890.56,,Zomato,2026-04-14 9:19:00
T227,A29,C29,18190.53,,Amazon,2026-04-14 10:26:00
T228,A16,C16,5879.05,debit,Swiggy,2026-04-14 0:36:00
T229,A75,C75,11260.62,DEBIT,Flipkart,2026-04-14 10:59:00
T230,A78,C78,3339.87,,,2026-04-14 3:4:00
T231,A1,C1,2655.18,debit,Flipkart,2026-04-14 23:24:00
T232,A9,C9,2441.99,,Swiggy,2026-04-14 15:10:00
T233,A91,C91,8998.64,,Swiggy,2026-04-14 22:1:00
T234,A76,C76,12613.86,DEBIT,Swiggy,2026-04-14 6:8:00
T235,A95,C95,8464.87,debit,Zomato,2026-04-14 16:29:00
T236,A72,C72,9060.07,debit,Zomato,2026-04-14 22:5:00
T237,A50,C50,11602.75,credit,,2026-04-14 17:41:00
T238,A100,C100,19767.87,,,2026-04-14 23:1:00
T239,A14,C14,740.48,credit,Amazon,2026-04-14 17:41:00
T240,A42,C42,4813.14,debit,Zomato,2026-04-14 13:42:00
T241,A35,C35,16012.93,,Flipkart,2026-04-14 9:39:00
T242,A69,C69,3640.37,credit,,2026-04-14 2:59:00
T243,A74,C74,10922.97,debit,Zomato,2026-04-14 17:28:00
T244,A53,C53,8037.59,DEBIT,Swiggy,2026-04-14 15:41:00
T245,A12,C12,3284.91,,Flipkart,2026-04-14 7:1:00
T246,A37,C37,9359.47,credit,Flipkart,2026-04-14 20:18:00
T247,A49,C49,8213.53,credit,Zomato,2026-04-14 21:14:00
T248,A83,C83,2200.83,debit,,2026-04-14 8:59:00
T249,A9,C9,479.91,,Amazon,2026-04-14 13:3:00
T250,A76,C76,4951.34,debit,Amazon,2026-04-14 4:40:00
T251,A84,C84,12916.94,debit,Amazon,2026-04-14 12:3:00
T252,A6,C6,4179.52,,Swiggy,2026-04-14 17:17:00
T253,A2,C2,8587.52,debit,Flipkart,2026-04-14 5:47:00
T254,A24,C24,7369.93,,Swiggy,2026-04-14 6:48:00
T255,A18,C18,19134.92,credit,Swiggy,2026-04-14 23:14:00
T256,A4,C4,18469.07,debit,,2026-04-14 2:59:00
T257,A9,C9,9281.03,,Amazon,2026-04-14 13:12:00
T258,A15,C15,11377.5,DEBIT,Swiggy,2026-04-14 6:11:00
T259,A80,C80,15794.77,DEBIT,Zomato,2026-04-14 15:12:00
T260,A56,C56,14812.63,DEBIT,Swiggy,2026-04-14 19:18:00
T261,A66,C66,19250.46,debit,,2026-04-14 20:46:00
T262,A32,C32,19710.72,DEBIT,Amazon,2026-04-14 12:38:00
T263,A63,C63,5896.24,credit,Amazon,2026-04-14 14:8:00
T264,A73,C73,6008.32,,Amazon,2026-04-14 18:30:00
T265,A52,C52,17043.58,credit,Swiggy,2026-04-14 23:35:00
T266,A11,C11,3650.4,DEBIT,Swiggy,2026-04-14 6:3:00
T267,A65,C65,15179.71,DEBIT,Flipkart,2026-04-14 2:45:00
T268,A29,C29,10735.08,,Flipkart,2026-04-14 8:7:00
T269,A22,C22,12419.74,DEBIT,Swiggy,2026-04-14 13:37:00
T270,A65,C65,12632.75,debit,Zomato,2026-04-14 16:1:00
T271,A75,C75,13580.55,debit,Amazon,2026-04-14 13:29:00
T272,A37,C37,13815.27,,Zomato,2026-04-14 6:8:00
T273,A70,C70,8486.39,debit,Swiggy,2026-04-14 2:58:00
T274,A13,C13,19331.01,credit,Flipkart,2026-04-14 19:21:00
T275,A52,C52,9962.72,DEBIT,Swiggy,2026-04-14 19:55:00
T276,A25,C25,8247.11,DEBIT,Amazon,2026-04-14 19:44:00
T277,A68,C68,1762.3,debit,Amazon,2026-04-14 7:28:00
T278,A11,C11,11541.47,DEBIT,Amazon,2026-04-14 14:15:00
T279,A78,C78,9073.73,DEBIT,Zomato,2026-04-14 15:23:00
T280,A3,C3,7893.22,DEBIT,Swiggy,2026-04-14 20:50:00
T281,A87,C87,6572.62,credit,Amazon,2026-04-14 0:17:00
T282,A47,C47,6128.72,credit,Amazon,2026-04-14 8:48:00
T24,A87,C87,12342.0,DEBIT,,2026-04-14 15:37:00
T284,A1,C1,11469.81,credit,Zomato,2026-04-14 3:20:00
T285,A24,C24,17086.7,,Amazon,2026-04-14 10:8:00
T286,A44,C44,4101.45,DEBIT,,2026-04-14 5:10:00
T287,A49,C49,8427.31,debit,,2026-04-14 0:16:00
T288,A58,C58,19142.92,,Amazon,2026-04-14 4:3:00
T289,A100,C100,19518.2,DEBIT,Zomato,2026-04-14 2:40:00
T290,A88,C88,12754.8,,Zomato,2026-04-14 9:4:00
T291,A77,C77,6206.96,,Amazon,2026-04-14 11:30:00
T292,A18,C18,4740.78,,Swiggy,2026-04-14 11:17:00
T293,A30,C30,1947.54,credit,,2026-04-14 12:40:00
T36,A52,C52,4640.65,,Swiggy,2026-04-14 17:58:00
T295,A59,C59,17189.67,DEBIT,Amazon,2026-04-14 11:52:00
T296,A9,C9,14830.25,,Swiggy,2026-04-14 21:52:00
T297,A98,C98,2236.88,credit,,2026-04-14 16:41:00
T298,A86,C86,2881.04,debit,Swiggy,2026-04-14 1:25:00
T299,A10,C10,8219.27,,,2026-04-14 16:43:00
T300,A99,C99,8646.53,credit,Flipkart,2026-04-14 12:41:00
T301,A61,C61,119.46,debit,,2026-04-14 0:25:00
T302,A24,C24,13794.96,DEBIT,,2026-04-14 23:52:00
T10,A32,C32,8664.46,,Amazon,2026-04-14 20:38:00
T304,A22,C22,15799.09,debit,Amazon,2026-04-14 7:29:00
T305,A42,C42,15915.04,credit,Amazon,2026-04-14 18:37:00
T306,A17,C17,12805.13,,Amazon,2026-04-14 3:10:00
T307,A50,C50,774.96,DEBIT,Zomato,2026-04-14 2:14:00
T308,A80,C80,3097.59,credit,Flipkart,2026-04-14 11:58:00
T309,A85,C85,9816.62,credit,Swiggy,2026-04-14 0:50:00
T310,A59,C59,335.84,,,2026-04-14 15:17:00
T311,A76,C76,10691.9,DEBIT,Zomato,2026-04-14 6:31:00
T312,A32,C32,18449.89,credit,,2026-04-14 4:42:00
T313,A18,C18,4794.62,credit,Amazon,2026-04-14 23:48:00
T314,A95,C95,13106.02,DEBIT,Amazon,2026-04-14 13:19:00
T315,A55,C55,699.3,credit,Amazon,2026-04-14 1:43:00
T316,A96,C96,14401.2,debit,Amazon,2026-04-14 1:48:00
T317,A49,C49,2465.75,debit,Amazon,2026-04-14 21:59:00
T318,A79,C79,6931.12,,Swiggy,2026-04-14 7:13:00
T319,A95,C95,684.03,DEBIT,Amazon,2026-04-14 19:3:00
T320,A30,C30,10308.79,debit,Flipkart,2026-04-14 7:32:00
T321,A66,C66,2868.45,credit,Flipkart,2026-04-14 21:52:00
T322,A1,C1,6035.67,,Zomato,2026-04-14 16:27:00
T323,A34,C34,5001.83,debit,Zomato,2026-04-14 17:1:00
T324,A23,C23,2999.85,,Amazon,2026-04-14 8:39:00
T325,A16,C16,15693.07,,Amazon,2026-04-14 7:45:00
T326,A29,C29,6570.05,debit,,2026-04-14 10:5:00
T327,A75,C75,14123.73,credit,Zomato,2026-04-14 5:15:00
T328,A8,C8,9492.58,debit,Amazon,2026-04-14 0:18:00
T329,A63,C63,7927.2,debit,Zomato,2026-04-14 12:52:00
T330,A12,C12,14130.87,DEBIT,Amazon,2026-04-14 20:2:00
T331,A88,C88,11854.86,debit,Flipkart,2026-04-14 10:20:00
T332,A64,C64,19926.12,,Swiggy,2026-04-14 0:0:00
T333,A30,C30,1152.19,credit,Swiggy,2026-04-14 13:10:00
T334,A99,C99,4310.78,,Amazon,2026-04-14 21:20:00
T335,A96,C96,15669.11,DEBIT,,2026-04-14 23:22:00
T336,A3,C3,7798.98,credit,Flipkart,2026-04-14 7:12:00
T337,A20,C20,1344.19,DEBIT,Flipkart,2026-04-14 11:57:00
T338,A17,C17,18406.56,,Flipkart,2026-04-14 23:39:00
T339,A54,C54,3121.55,debit,Swiggy,2026-04-14 20:37:00
T340,A88,C88,5372.6,DEBIT,Swiggy,2026-04-14 4:40:00
T341,A1,C1,1884.93,,Amazon,2026-04-14 6:48:00
T342,A94,C94,16908.23,DEBIT,Zomato,2026-04-14 7:23:00
T343,A74,C74,18228.43,debit,Flipkart,2026-04-14 17:20:00
T344,A9,C9,14339.47,credit,Swiggy,2026-04-14 16:14:00
T345,A40,C40,9089.55,DEBIT,Zomato,2026-04-14 10:45:00
T346,A79,C79,6879.17,,Amazon,2026-04-14 23:55:00
T347,A68,C68,2599.88,DEBIT,Amazon,2026-04-14 21:15:00
T348,A19,C19,3058.79,,,2026-04-14 7:3:00
T349,A61,C61,10497.1,credit,Amazon,2026-04-14 3:7:00
T350,A3,C3,10049.15,DEBIT,Zomato,2026-04-14 18:4:00
T351,A96,C96,3020.69,debit,Flipkart,2026-04-14 14:50:00
T352,A91,C91,3585.08,credit,Amazon,2026-04-14 22:28:00
T353,A58,C58,5630.23,DEBIT,Swiggy,2026-04-14 23:33:00
T354,A44,C44,17049.42,DEBIT,Swiggy,2026-04-14 15:57:00
T355,A66,C66,19194.02,debit,Zomato,2026-04-14 14:57:00
T356,A87,C87,3634.66,debit,Zomato,2026-04-14 12:18:00
T357,A69,C69,17204.97,credit,Swiggy,2026-04-14 7:46:00
T358,A5,C5,8254.47,,Zomato,2026-04-14 0:12:00
T359,A85,C85,3238.52,DEBIT,Swiggy,2026-04-14 0:13:00
T360,A20,C20,10397.14,debit,,2026-04-14 23:57:00
T361,A10,C10,17940.2,debit,Flipkart,2026-04-14 15:25:00
T362,A90,C90,18904.64,credit,Flipkart,2026-04-14 22:8:00
T363,A78,C78,5959.77,debit,Swiggy,2026-04-14 8:49:00
T364,A65,C65,6586.44,credit,Zomato,2026-04-14 18:6:00
T365,A40,C40,7607.74,credit,Amazon,2026-04-14 4:10:00
T366,A86,C86,15181.73,debit,,2026-04-14 12:22:00
T367,A80,C80,4505.69,debit,,2026-04-14 14:51:00
T368,A97,C97,14231.41,DEBIT,Swiggy,2026-04-14 6:9:00
T369,A20,C20,15283.99,DEBIT,Flipkart,2026-04-14 16:0:00
T370,A58,C58,19958.36,DEBIT,,2026-04-14 18:31:00
T371,A5,C5,2866.13,debit,Zomato,2026-04-14 22:25:00
T372,A52,C52,18991.09,,Zomato,2026-04-14 21:0:00
T373,A1,C1,11831.22,,Swiggy,2026-04-14 0:41:00
T374,A84,C84,6339.36,debit,Flipkart,2026-04-14 15:59:00
T7,A34,C34,12189.35,DEBIT,,2026-04-14 7:40:00
T376,A44,C44,1160.76,debit,Flipkart,2026-04-14 10:28:00
T377,A60,C60,9735.6,,Swiggy,2026-04-14 17:48:00
T378,A18,C18,19096.91,debit,,2026-04-14 17:44:00
T379,A38,C38,3268.99,credit,Flipkart,2026-04-14 17:52:00
T380,A73,C73,16631.17,credit,,2026-04-14 23:34:00
T381,A12,C12,13306.06,credit,Amazon,2026-04-14 10:8:00
T382,A53,C53,14749.08,DEBIT,Swiggy,2026-04-14 11:47:00
T383,A42,C42,18388.16,debit,Amazon,2026-04-14 15:33:00
T384,A62,C62,5672.98,DEBIT,Amazon,2026-04-14 16:59:00
T385,A21,C21,9402.83,,Swiggy,2026-04-14 19:35:00
T386,A9,C9,19805.81,debit,Amazon,2026-04-14 12:38:00
T387,A14,C14,13224.37,,Flipkart,2026-04-14 8:55:00
T388,A48,C48,2440.96,DEBIT,Amazon,2026-04-14 14:1:00
T389,A75,C75,7993.49,DEBIT,,2026-04-14 2:35:00
T390,A21,C21,14418.69,,,2026-04-14 17:5:00
T391,A52,C52,1300.25,DEBIT,Flipkart,2026-04-14 0:28:00
T392,A2,C2,5922.45,,Zomato,2026-04-14 5:21:00
T393,A50,C50,12856.72,,Amazon,2026-04-14 4:39:00
T394,A40,C40,11201.05,debit,,2026-04-14 14:38:00
T395,A49,C49,4219.96,debit,Zomato,2026-04-14 11:51:00
T396,A92,C92,11663.04,DEBIT,Zomato,2026-04-14 13:47:00
T397,A89,C89,8170.16,debit,Swiggy,2026-04-14 17:31:00
T398,A10,C10,9500.86,,,2026-04-14 16:1:00
